
timestamp,humidity_dht,temperature_dht,soil_moisture_sensor,rain_level,api_temp,precip_mm,last_update
2025-03-30T17:30:24.672804,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:30:34.636091,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:30:44.640983,14.0,23.0,98.11946902654867,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:30:54.713156,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:04.687652,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:14.665060,15.0,23.0,100,6.940371456500489,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:24.641744,14.0,23.0,12.278761061946902,99.51124144672532,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:34.648997,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:45.009860,15.0,23.0,50.110619469026545,43.988269794721404,31.1,0.0,2025-03-30 15:15
2025-03-30T17:31:54.641814,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:05.040384,14.0,23.0,86.28318584070796,28.836754643206255,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:14.648086,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:24.656124,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:34.654337,15.0,23.0,55.64159292035398,37.634408602150536,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:44.629792,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:32:54.638846,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:04.732265,15.0,23.0,56.74778761061947,62.267839687194524,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:14.645867,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:24.680581,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:34.658504,14.0,23.0,91.3716814159292,23.851417399804497,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:44.666324,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:15
2025-03-30T17:33:54.651417,15.0,23.0,83.84955752212389,8.113391984359726,31.1,0.0,2025-03-30 15:15
2025-03-30T17:34:04.697440,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:34:14.648974,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:34:24.677024,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:34:34.671724,15.0,23.0,100,2.541544477028348,31.1,0.0,2025-03-30 15:30
2025-03-30T17:34:44.655352,15.0,23.0,7.411504424778761,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:34:54.665685,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:04.666645,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:14.683145,14.0,23.0,17.256637168141594,77.02834799608993,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:24.667124,15.0,23.0,43.36283185840708,52.0039100684262,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:34.667615,15.0,23.0,75.88495575221239,15.73802541544477,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:44.682046,15.0,23.0,38.93805309734513,55.71847507331378,31.1,0.0,2025-03-30 15:30
2025-03-30T17:35:54.674172,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:04.736017,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:14.689651,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:24.693930,15.0,23.0,54.5353982300885,61.58357771260997,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:34.670023,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:44.674337,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:36:54.688601,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:04.704489,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:14.689275,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:24.684037,15.0,23.0,65.81858407079646,27.468230694037146,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:34.689813,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:44.679528,15.0,23.0,10.508849557522124,99.90224828934507,31.1,0.0,2025-03-30 15:30
2025-03-30T17:37:54.709840,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:04.692501,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:14.688688,15.0,23.0,15.154867256637168,98.33822091886609,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:24.720128,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:34.695667,15.0,23.0,94.91150442477876,1.3685239491691104,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:44.784885,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:38:54.694107,15.0,23.0,0.7743362831858407,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:04.699287,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:14.730029,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:24.720940,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:34.728212,14.0,23.0,13.827433628318584,99.80449657869012,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:44.701277,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:39:54.689995,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:04.719547,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:14.720776,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:24.720918,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:34.718009,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:44.713399,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:40:54.723425,14.0,23.0,11.061946902654867,99.80449657869012,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:04.697795,15.0,23.0,100,4.789833822091887,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:14.732884,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:24.739411,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:34.741793,15.0,23.0,83.07522123893806,31.47605083088954,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:44.724756,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:41:54.747935,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:04.729048,15.0,23.0,51.991150442477874,64.71163245356794,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:14.757415,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:24.739034,15.0,23.0,38.49557522123894,57.18475073313783,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:34.738520,15.0,23.0,21.460176991150444,97.26295210166178,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:44.718315,14.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:42:54.769968,15.0,23.0,100,0,31.1,0.0,2025-03-30 15:30
2025-03-30T17:43:04.756906,14.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:43:14.729633,15.0,23.0,0,100,31.1,0.0,2025-03-30 15:30
2025-03-30T17:43:24.736684,14.0,23.0,56.85840707964602,61.681329423264906,31.1,0.0,2025-03-30 15:30
